From_ID,From,To_ID,To,Year,Count
57,Cabinda,84,Cayes (Les),1789,1
113,Elmina,104,Demerara,1789,1
131,"Gold Coast, port unspecified",142,Havana,1789,2
30,Benin,142,Havana,1789,1
329,"West Central Africa and St. Helena, port unspecified",155,Jacmel,1789,1
71,Cape Coast Castle,160,Kingston,1789,2
42,Bonny,160,Kingston,1789,1
131,"Gold Coast, port unspecified",160,Kingston,1789,4
63,Calabar,160,Kingston,1789,1
64,Cameroons,160,Kingston,1789,1
126,Gambia,160,Kingston,1789,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",160,Kingston,1789,4
63,Calabar,192,Martha Brae,1789,1
42,Bonny,200,Montego Bay,1789,2
212,New Calabar,200,Montego Bay,1789,2
212,New Calabar,201,Montevideo,1789,1
124,Gabon,243,Port-au-Prince,1789,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1789,4
245,Porto Novo,243,Port-au-Prince,1789,2
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1789,3
332,Whydah,243,Port-au-Prince,1789,1
204,Mozambique,243,Port-au-Prince,1789,3
42,Bonny,243,Port-au-Prince,1789,1
33,"Bight of Benin, port unspecified",243,Port-au-Prince,1789,1
131,"Gold Coast, port unspecified",242,Port Royal,1789,1
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1789,2
130,"Gold Coast, Fr. definition",274,Saint-Marc,1789,1
204,Mozambique,274,Saint-Marc,1789,1
126,Gambia,284,Savannah,1789,1
335,"Windward Coast, port unspecified",284,Savannah,1789,1
101,Danish Gold Coast,301,St. Croix,1789,1
329,"West Central Africa and St. Helena, port unspecified",305,St. Maarten,1789,1
113,Elmina,31,Berbice,1790,1
25,Bassa,40,Black River,1790,1
204,Mozambique,74,Cape of Good Hope,1790,1
63,Calabar,84,Cayes (Les),1790,3
124,Gabon,84,Cayes (Les),1790,1
130,"Gold Coast, Fr. definition",84,Cayes (Les),1790,1
204,Mozambique,84,Cayes (Les),1790,2
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",84,Cayes (Les),1790,1
70,Cap Lopez,84,Cayes (Les),1790,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1790,2
186,Malembo,84,Cayes (Les),1790,1
113,Elmina,104,Demerara,1790,1
72,Cape Lahou,104,Demerara,1790,2
131,"Gold Coast, port unspecified",142,Havana,1790,2
286,"Senegambia and offshore Atlantic, port unspecified",142,Havana,1790,1
126,Gambia,142,Havana,1790,1
329,"West Central Africa and St. Helena, port unspecified",142,Havana,1790,1
286,"Senegambia and offshore Atlantic, port unspecified",155,Jacmel,1790,1
63,Calabar,160,Kingston,1790,2
131,"Gold Coast, port unspecified",160,Kingston,1790,3
71,Cape Coast Castle,160,Kingston,1790,4
245,Porto Novo,160,Kingston,1790,1
42,Bonny,160,Kingston,1790,1
212,New Calabar,192,Martha Brae,1790,1
332,Whydah,200,Montego Bay,1790,1
42,Bonny,200,Montego Bay,1790,5
20,Banana Islands,200,Montego Bay,1790,1
167,"Lagos, Onim",200,Montego Bay,1790,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1790,9
29,Benguela,243,Port-au-Prince,1790,1
245,Porto Novo,243,Port-au-Prince,1790,2
204,Mozambique,243,Port-au-Prince,1790,1
