From_ID,From,To_ID,To,Year,Count
335,"Windward Coast, port unspecified",85,Charleston,1772,3
131,"Gold Coast, port unspecified",85,Charleston,1772,1
126,Gambia,85,Charleston,1772,5
186,Malembo,85,Charleston,1772,2
72,Cape Lahou,116,Essequibo,1772,1
63,Calabar,200,Montego Bay,1772,1
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1772,1
186,Malembo,243,Port-au-Prince,1772,1
167,"Lagos, Onim",243,Port-au-Prince,1772,1
126,Gambia,243,Port-au-Prince,1772,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1772,1
175,Loango,243,Port-au-Prince,1772,1
1,Accra,243,Port-au-Prince,1772,1
29,Benguela,258,Rio de Janeiro,1772,1
332,Whydah,274,Saint-Marc,1772,1
186,Malembo,302,St. Eustatius,1772,1
329,"West Central Africa and St. Helena, port unspecified",320,Upper James River,1772,1
63,Calabar,320,Upper James River,1772,1
113,Elmina,31,Berbice,1773,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1773,1
148,Iles de Los,85,Charleston,1773,1
131,"Gold Coast, port unspecified",85,Charleston,1773,4
71,Cape Coast Castle,85,Charleston,1773,1
329,"West Central Africa and St. Helena, port unspecified",85,Charleston,1773,2
335,"Windward Coast, port unspecified",85,Charleston,1773,4
63,Calabar,85,Charleston,1773,1
126,Gambia,85,Charleston,1773,7
186,Malembo,85,Charleston,1773,1
332,Whydah,85,Charleston,1773,1
186,Malembo,116,Essequibo,1773,1
57,Cabinda,116,Essequibo,1773,1
329,"West Central Africa and St. Helena, port unspecified",116,Essequibo,1773,1
239,Popo,160,Kingston,1773,1
34,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",160,Kingston,1773,1
126,Gambia,192,Martha Brae,1773,1
63,Calabar,200,Montego Bay,1773,1
186,Malembo,243,Port-au-Prince,1773,2
167,"Lagos, Onim",243,Port-au-Prince,1773,1
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1773,2
63,Calabar,243,Port-au-Prince,1773,1
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1773,1
30,Benin,274,Saint-Marc,1773,1
332,Whydah,274,Saint-Marc,1773,2
72,Cape Lahou,302,St. Eustatius,1773,1
186,Malembo,302,St. Eustatius,1773,1
63,Calabar,11,Antonia,1774,1
25,Bassa,52,"British Caribbean, colony unspecified",1774,1
63,Calabar,52,"British Caribbean, colony unspecified",1774,1
30,Benin,52,"British Caribbean, colony unspecified",1774,1
148,Iles de Los,85,Charleston,1774,2
335,"Windward Coast, port unspecified",85,Charleston,1774,1
332,Whydah,85,Charleston,1774,1
126,Gambia,85,Charleston,1774,4
329,"West Central Africa and St. Helena, port unspecified",85,Charleston,1774,2
87,Congo North,111,"Dutch Guianas, colony unspecified",1774,1
72,Cape Lahou,116,Essequibo,1774,1
87,Congo North,116,Essequibo,1774,1
186,Malembo,116,Essequibo,1774,1
63,Calabar,160,Kingston,1774,1
42,Bonny,160,Kingston,1774,1
335,"Windward Coast, port unspecified",160,Kingston,1774,1
126,Gambia,160,Kingston,1774,1
332,Whydah,243,Port-au-Prince,1774,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1774,1
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1774,1
175,Loango,243,Port-au-Prince,1774,3
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1774,2
329,"West Central Africa and St. Helena, port unspecified",284,Savannah,1774,1
126,Gambia,284,Savannah,1774,2
148,Iles de Los,299,St. Augustine,1774,1
